seller_active_quarter,year,quarter,seller_id,is_churn,n_orders,n_approved_orders,n_delivered_carrier,n_orders_late_to_carrier,n_delivered_customers,sales,n_orders_late_to_customer,median_approve_time,median_review_score,tenure_months,last_month_active_quarter,n_months_active_quarter,seller_city,seller_state
2018Q2,2018,2,seller_1521,,21,21,20,2,21,3545.25,0,32.583333333333336,4.0,8,3,3,guarulhos,SP
2018Q2,2018,2,seller_998,,57,57,59,2,58,13033.6,6,21.766666666666666,5.0,16,3,3,campinas,SP
2018Q2,2018,2,seller_1781,,143,143,142,0,140,5994.07,14,42.56666666666667,5.0,18,3,3,atibaia,SP
2018Q2,2018,2,seller_1548,,58,59,62,0,78,11719.9,5,31.9,5.0,19,3,3,curitiba,PR
2018Q2,2018,2,seller_1042,,70,71,71,0,69,7009.0,2,29.35,5.0,7,3,3,belo horizonte,MG
2018Q2,2018,2,seller_1513,,29,29,26,2,34,4989.09,6,79.61666666666666,5.0,19,3,3,sao paulo,SP
2018Q2,2018,2,seller_617,,21,21,20,1,18,3179.37,0,26.116666666666667,5.0,3,3,3,novo horizonte,SP
2018Q2,2018,2,seller_735,,3,3,3,0,3,434.70000000000005,1,30.166666666666668,5.0,4,2,2,sao paulo,SP
2018Q2,2018,2,seller_2684,,7,7,7,0,8,523.0,1,86.01666666666667,4.0,6,3,3,guarulhos,SP
2018Q2,2018,2,seller_1292,,77,77,83,1,95,10642.93,12,26.083333333333332,4.5,7,3,3,guarulhos,SP
2018Q2,2018,2,seller_1273,,41,41,39,3,39,6235.22,3,24.766666666666666,5.0,3,3,3,rio de janeiro,RJ
2018Q2,2018,2,seller_787,,5,5,4,0,5,654.0,0,22.0,5.0,4,3,3,guaruja,SP
2018Q2,2018,2,seller_242,,351,352,354,33,392,75232.26,60,25.8,5.0,5,3,3,ribeirao preto,SP
2018Q2,2018,2,seller_1374,,34,34,34,0,33,8315.33,2,75.325,4.0,15,3,3,porto alegre,RS
2018Q2,2018,2,seller_205,,19,20,19,2,18,2411.2,4,99.85833333333333,5.0,12,3,3,ponte nova,MG
2018Q2,2018,2,seller_1196,,1,1,1,0,1,121.99,0,13.016666666666667,5.0,9,2,1,carapicuiba,SP
2018Q2,2018,2,seller_1893,,105,105,107,3,140,20231.8,36,24.9,5.0,19,3,3,petropolis,RJ
2018Q2,2018,2,seller_390,,505,509,512,1,538,66878.94,43,36.18333333333333,5.0,12,3,3,sao paulo,SP
2018Q2,2018,2,seller_1224,,8,8,8,0,11,1296.5,3,27.608333333333334,5.0,16,3,3,arapongas,PR
2018Q2,2018,2,seller_862,,51,51,51,1,49,3303.86,2,26.133333333333333,5.0,4,3,3,ibitinga,SP
2018Q2,2018,2,seller_1730,,33,34,34,3,41,5930.6,3,44.90833333333333,5.0,16,3,3,osasco,SP
2018Q2,2018,2,seller_2328,,28,28,29,0,35,6040.03,6,22.583333333333332,4.0,13,3,3,sao paulo,SP
2018Q2,2018,2,seller_1618,,21,21,21,0,33,1818.3999999999999,9,27.133333333333333,4.5,15,3,3,sao paulo,SP
2018Q2,2018,2,seller_2388,,51,51,52,0,53,8069.4400000000005,1,23.316666666666666,5.0,8,3,3,sao paulo,SP
2018Q2,2018,2,seller_2001,,64,64,63,30,65,2176.0,8,38.7,4.0,19,3,3,belo horizonte,MG
2018Q2,2018,2,seller_2554,,12,12,15,1,18,840.07,5,731.9166666666666,4.5,17,3,3,sao jose dos campos,SP
2018Q2,2018,2,seller_2718,,17,17,17,0,25,7065.9,1,56.266666666666666,5.0,11,3,3,campo mourao,PR
2018Q2,2018,2,seller_1953,,33,33,33,1,37,4071.12,3,25.566666666666666,4.5,12,3,3,sao paulo,SP
2018Q2,2018,2,seller_2391,,55,56,56,0,55,1578.3799999999999,5,27.341666666666665,5.0,16,3,3,sao paulo,SP
