seller_active_quarter,year,quarter,seller_id,is_churn,n_orders,n_approved_orders,n_delivered_carrier,n_orders_late_to_carrier,n_delivered_customers,sales,n_orders_late_to_customer,median_approve_time,median_review_score,tenure_months,last_month_active_quarter,n_months_active_quarter,seller_city,seller_state
2017Q3,2017,3,seller_513,False,65,65,60,4,53,4666.7,2,17.033333333333335,5.0,7,3,3,volta redonda,SP
2017Q2,2017,2,seller_471,False,12,12,12,5,12,1083.8600000000001,2,15.108333333333333,3.0,3,3,3,sao paulo,SP
2018Q1,2018,1,seller_1824,False,5,5,5,0,4,1006.0,0,20.816666666666666,4.5,5,3,2,borda da mata,MG
2017Q1,2017,1,seller_1597,False,5,5,5,3,4,342.8,0,12.366666666666667,3.5,4,3,3,loanda,PR
2017Q2,2017,2,seller_659,False,8,8,8,0,6,245.39999999999998,0,1241.9083333333333,5.0,2,3,2,ribeirao preto,SP
2017Q4,2017,4,seller_2973,False,80,81,80,4,77,3860.9,5,22.266666666666666,4.0,4,3,3,sao paulo,SP
2018Q1,2018,1,seller_67,False,42,42,42,4,39,7034.83,6,22.425,5.0,15,3,3,sao paulo,SP
2018Q1,2018,1,seller_1413,False,301,298,308,0,315,20697.77,32,20.158333333333335,5.0,14,3,3,santo andre,SP
2018Q1,2018,1,seller_474,False,315,318,343,31,346,23989.0,57,25.9,5.0,12,3,3,sao jose do rio preto,SP
2017Q3,2017,3,seller_2493,False,62,61,60,1,50,8067.01,2,15.433333333333334,5.0,9,3,3,ribeirao preto,SP
2018Q1,2018,1,seller_1054,False,16,16,16,1,15,540.0,4,409.5,3.0,13,3,3,jaragua do sul,SC
2018Q1,2018,1,seller_1572,False,74,74,73,2,78,3692.7,5,19.341666666666665,5.0,6,3,3,sao paulo,SP
2017Q4,2017,4,seller_987,False,308,307,292,5,242,7243.21,18,21.533333333333335,5.0,5,3,3,sao paulo,SP
2018Q1,2018,1,seller_1182,False,279,278,232,81,200,38123.03,17,22.775,3.0,15,3,3,itaquaquecetuba,SP
2018Q1,2018,1,seller_797,False,267,268,274,1,260,16703.92,24,18.458333333333332,4.0,14,3,3,sao paulo,SP
2017Q3,2017,3,seller_559,False,41,41,41,0,38,1722.17,0,18.666666666666668,5.0,3,3,3,maua,SP
2017Q3,2017,3,seller_1154,False,8,7,7,0,6,1009.4000000000001,0,18.533333333333335,5.0,3,3,3,campo largo,PR
2018Q1,2018,1,seller_664,False,31,31,31,0,29,5837.0,2,17.833333333333332,5.0,14,3,3,serra negra,SP
2017Q1,2017,1,seller_1098,False,36,36,32,10,28,2625.05,0,13.433333333333334,5.0,3,3,3,santo andre,SP
2017Q4,2017,4,seller_523,False,34,34,36,0,33,3954.31,1,24.141666666666666,5.0,13,3,3,monte siao,MG
2017Q4,2017,4,seller_640,False,13,13,12,0,13,6527.0,1,957.1833333333333,4.0,3,3,2,curitiba,PR
2017Q4,2017,4,seller_226,False,14,14,14,0,14,601.92,1,82.525,5.0,10,3,3,sorocaba,SP
2017Q2,2017,2,seller_2759,False,117,117,121,19,121,2308.12,6,16.783333333333335,5.0,5,3,3,sao paulo,SP
2018Q1,2018,1,seller_332,False,476,476,478,18,439,8250.99,44,22.491666666666667,5.0,6,3,3,sao paulo,SP
2018Q1,2018,1,seller_276,False,29,29,31,1,30,2544.0,6,17.283333333333335,4.0,11,3,3,ibitinga,SP
2017Q2,2017,2,seller_3033,True,2,2,2,1,3,175.5,0,428.81666666666666,5.0,3,2,2,sao paulo,SP
2017Q2,2017,2,seller_1263,False,24,24,25,7,24,12133.32,2,320.475,5.0,4,3,3,itauna,MG
2018Q1,2018,1,seller_2207,False,201,200,202,4,184,24217.14,12,20.283333333333335,5.0,15,3,3,sao paulo,SP
2018Q1,2018,1,seller_1548,False,88,87,84,0,75,10855.7,16,19.95,4.0,16,3,3,curitiba,PR
2017Q4,2017,4,seller_2321,False,29,29,30,2,22,1996.6499999999999,0,19.166666666666668,4.0,9,3,3,brasilia,DF
2018Q1,2018,1,seller_710,False,34,34,34,6,24,4010.08,3,17.75,4.0,10,3,3,sao jose dos campos,SP
2017Q4,2017,4,seller_2463,False,379,378,378,23,358,41221.5,52,19.658333333333335,4.0,12,3,3,ibitinga,SP
2017Q2,2017,2,seller_2363,False,48,48,48,14,41,1203.84,3,14.358333333333333,4.0,7,3,3,sao paulo,SP
2017Q2,2017,2,seller_507,False,51,51,49,0,54,7622.63,7,14.616666666666667,4.0,5,3,3,piracicaba,SP
2017Q1,2017,1,seller_2463,False,99,99,99,6,75,7224.700000000001,1,10.633333333333333,5.0,3,3,3,ibitinga,SP
2017Q1,2017,1,seller_2351,False,16,16,16,0,13,3593.59,0,10.658333333333333,5.0,3,3,3,maringa,PR
